sample_idx,time_s,x_raw,x_g,x_m_s2,device_name,odr_hz,capture_elapsed_us
249,0.29400403069657616,1688,0.411872,4.0390845488,XIAO-IMU-3,3330,1000086
250,0.29518476977567887,1612,0.39332799999999996,3.8572300311999994,XIAO-IMU-3,3330,1000086
251,0.29636550885478163,783,0.191052,1.8735800958,XIAO-IMU-3,3330,1000086
252,0.29754624793388434,663,0.161772,1.5864413838,XIAO-IMU-3,3330,1000086
253,0.29872698701298706,566,0.13810399999999998,1.3543375915999998,XIAO-IMU-3,3330,1000086
254,0.29990772609208977,488,0.119072,1.1676974288,XIAO-IMU-3,3330,1000086
255,0.3010884651711925,366,0.08930400000000001,0.8757730716000001,XIAO-IMU-3,3330,1000086
256,0.3022692042502952,281,0.06856399999999999,0.6723831505999999,XIAO-IMU-3,3330,1000086
257,0.3034499433293979,183,0.044652000000000004,0.43788653580000003,XIAO-IMU-3,3330,1000086
258,0.3046306824085006,135,0.03294,0.32303105099999996,XIAO-IMU-3,3330,1000086
259,0.3058114214876033,-515,-0.12566,-1.232303639,XIAO-IMU-3,3330,1000086
260,0.30699216056670603,-575,-0.14029999999999998,-1.3758729949999997,XIAO-IMU-3,3330,1000086
261,0.30817289964580874,-640,-0.15616,-1.5314064639999998,XIAO-IMU-3,3330,1000086
262,0.3093536387249115,-709,-0.172996,-1.6965112234,XIAO-IMU-3,3330,1000086
263,0.3105343778040142,-746,-0.182024,-1.7850456595999997,XIAO-IMU-3,3330,1000086
264,0.3117151168831169,-848,-0.206912,-2.0291135648,XIAO-IMU-3,3330,1000086
265,0.31289585596221964,-898,-0.219112,-2.1487546948,XIAO-IMU-3,3330,1000086
266,0.31407659504132235,-919,-0.224236,-2.1990039693999996,XIAO-IMU-3,3330,1000086
267,0.31525733412042506,-1498,-0.365512,-3.5844482548,XIAO-IMU-3,3330,1000086
268,0.31643807319952777,-1532,-0.373808,-3.6658042231999994,XIAO-IMU-3,3330,1000086
269,0.3176188122786305,-1607,-0.392108,-3.8452659182,XIAO-IMU-3,3330,1000086
270,0.3187995513577332,-1661,-0.405284,-3.9744783385999995,XIAO-IMU-3,3330,1000086
271,0.3199802904368359,-1686,-0.411384,-4.0342989036,XIAO-IMU-3,3330,1000086
272,0.3211610295159386,-1739,-0.42431599999999997,-4.1611185014,XIAO-IMU-3,3330,1000086
273,0.3223417685950414,-1772,-0.432368,-4.240081647199999,XIAO-IMU-3,3330,1000086
274,0.3235225076741441,-1816,-0.443104,-4.3453658416,XIAO-IMU-3,3330,1000086
275,0.3247032467532468,-2059,-0.5023960000000001,-4.926821733400001,XIAO-IMU-3,3330,1000086
276,0.3258839858323495,-2085,-0.50874,-4.989035121,XIAO-IMU-3,3330,1000086
277,0.3270647249114522,-2100,-0.5124,-5.02492746,XIAO-IMU-3,3330,1000086
278,0.32824546399055493,-2109,-0.514596,-5.0464628634,XIAO-IMU-3,3330,1000086
279,0.32942620306965764,-2140,-0.52216,-5.120640363999999,XIAO-IMU-3,3330,1000086
280,0.33060694214876035,-2151,-0.524844,-5.1469614126,XIAO-IMU-3,3330,1000086
281,0.33178768122786306,-2151,-0.524844,-5.1469614126,XIAO-IMU-3,3330,1000086
282,0.3329684203069658,-2152,-0.525088,-5.1493542352,XIAO-IMU-3,3330,1000086
283,0.3341491593860685,-2198,-0.536312,-5.2594240748,XIAO-IMU-3,3330,1000086
284,0.33532989846517125,-2203,-0.537532,-5.2713881877999995,XIAO-IMU-3,3330,1000086
285,0.33651063754427396,-2186,-0.533384,-5.230710203599999,XIAO-IMU-3,3330,1000086
286,0.33769137662337667,-2201,-0.537044,-5.266602542599999,XIAO-IMU-3,3330,1000086
287,0.3388721157024794,-2213,-0.539972,-5.2953164138,XIAO-IMU-3,3330,1000086
288,0.3400528547815821,-2204,-0.5377759999999999,-5.273781010399999,XIAO-IMU-3,3330,1000086
289,0.3412335938606848,-2199,-0.536556,-5.2618168974,XIAO-IMU-3,3330,1000086
290,0.3424143329397875,-2232,-0.544608,-5.3407800432,XIAO-IMU-3,3330,1000086
291,0.3435950720188902,-2235,-0.54534,-5.347958511,XIAO-IMU-3,3330,1000086
292,0.34477581109799293,-2235,-0.54534,-5.347958511,XIAO-IMU-3,3330,1000086
